ID,DriverName,Color,TeamID,DriverNumber,Year
0,Lewis Hamilton,#00f5d0,4,44,2018
1,Sebastian Vettel,#dc0000,0,5,2018
2,Kimi Räikkönen,#dc0000,0,7,2018
3,Max Verstappen,#1e41ff,5,33,2018
4,Valtteri Bottas,#00f5d0,4,77,2018
5,Daniel Ricciardo,#1e41ff,5,3,2018
6,Nico Hulkenberg,#fff500,6,27,2018
7,Sergio Perez,#ff87bc,1,11,2018
8,Kevin Magnussen,#b6babd,2,20,2018
9,Carlos Sainz,#fff500,6,55,2018
10,Fernando Alonso,#ff8000,3,14,2018
11,Esteban Ocon,#ff87bc,1,31,2018
12,Charles Leclerc,#900000,7,16,2018
13,Romain Grosjean,#b6babd,2,8,2018
14,Pierre Gasly,#2b4562,8,10,2018
15,Stoffel Vandoorne,#ff8000,3,2,2018
16,Marcus Ericsson,#900000,7,9,2018
17,Lance Stroll,#00a0dd,9,18,2018
18,Brendon Hartley,#2b4562,8,28,2018
19,Sergey Sirotkin,#00a0dd,9,35,2018
20,Lewis Hamilton,#00d2be,4,44,2019
21,Valtteri Bottas,#00d2be,4,77,2019
22,Max Verstappen,#1e41ff,5,33,2019
23,Charles Leclerc,#da291c,0,16,2019
24,Sebastian Vettel,#da291c,0,5,2019
25,Carlos Sainz,#ff8000,3,55,2019
26,Pierre Gasly,#1e41ff,5,10,2019
27,Pierre Gasly,#1e41ff,8,10,2019
28,Alexander Albon,#2b4562,8,23,2019
29,Alexander Albon,#2b4562,5,23,2019
30,Daniel Ricciardo,#fff500,6,3,2019
31,Sergio Perez,#ff87bc,15,11,2019
32,Lando Norris,#ff8000,3,4,2019
33,Kimi Räikkönen,#900000,10,7,2019
34,Daniil Kvyat,#2b4562,8,26,2019
35,Nico Hulkenberg,#fff500,6,27,2019
36,Lance Stroll,#ff87bc,15,18,2019
37,Kevin Magnussen,#bd9e57,2,20,2019
38,Antonio Giovinazzi,#900000,10,99,2019
39,Romain Grosjean,#bd9e57,2,8,2019
40,Robert Kubica,#00a0dd,9,88,2020
41,George Russell,#00a0dd,9,63,2020
42,Lewis Hamilton,#00d2be,4,44,2020
43,Valtteri Bottas,#00d2be,4,77,2020
44,Max Verstappen,#1e41ff,5,33,2020
45,Sergio Perez,#ff87bc,15,11,2020
46,Daniel Ricciardo,#fff500,6,3,2020
47,Carlos Sainz,#ff8000,3,55,2020
48,Alexander Albon,#1e41ff,5,23,2020
49,Charles Leclerc,#dc0000,0,16,2020
50,Lando Norris,#ff8000,3,4,2020
51,Pierre Gasly,#2b4562,21,10,2020
52,Lance Stroll,#ff87bc,15,18,2020
53,Esteban Ocon,#fff500,6,31,2020
54,Sebastian Vettel,#dc0000,0,5,2020
55,Daniil Kvyat,#2b4562,21,26,2020
56,Nico Hulkenberg,#ff87bc,15,27,2020
57,Kimi Räikkönen,#900000,10,7,2020
58,Antonio Giovinazzi,#900000,10,99,2020
59,George Russell,#00a0dd,9,63,2020
60,George Russell,#00a0dd,4,63,2021
61,Romain Grosjean,#b6babd,2,8,2021
62,Kevin Magnussen,#b6babd,2,20,2021
63,Nicholas Latifi,#00a0dd,9,6,2021
64,Jack Aitken,#900000,9,89,2021
65,Pietro Fittipaldi,#b6babd,2,51,2021
66,Max Verstappen,#0600ef,5,33,2021
67,Lewis Hamilton,#00f5d0,4,44,2021
68,Valtteri Bottas,#00f5d0,4,77,2021
69,Sergio Perez,#0600ef,5,11,2021
70,Carlos Sainz,#dc0004,0,55,2021
71,Lando Norris,#ff8000,3,4,2021
72,Charles Leclerc,#dc0004,0,16,2021
73,Daniel Ricciardo,#ff8000,3,3,2021
74,Pierre Gasly,#2b4562,21,10,2021
75,Fernando Alonso,#0755ab,32,14,2021
76,Esteban Ocon,#0755ab,32,31,2021
77,Sebastian Vettel,#00665e,33,5,2021
78,Lance Stroll,#00665e,33,18,2021
79,Yuki Tsunoda,#2b4562,21,22,2021
80,George Russell,#00a0dd,9,63,2022
81,Kimi Räikkönen,#900000,10,7,2022
82,Nicholas Latifi,#00a0dd,9,6,2022
83,Antonio Giovinazzi,#900000,10,99,2022
84,Mick Schumacher,#b6babd,2,47,2022
85,Robert Kubica,#900000,10,88,2022
86,Nikita Mazepin,#b6babd,2,9,2022
87,Max Verstappen,#0600ef,5,33,2022
88,Charles Leclerc,#da291c,0,16,2022
89,Sergio Perez,#0600ef,5,11,2022
90,George Russell,#00f5d0,4,63,2022
91,Carlos Sainz,#da291c,0,55,2022
92,Lewis Hamilton,#00f5d0,4,44,2022
93,Lando Norris,#ff8000,3,4,2022
94,Esteban Ocon,#fe86bc,32,31,2022
95,Fernando Alonso,#fe86bc,32,14,2022
96,Valtteri Bottas,#900000,10,77,2022
97,Daniel Ricciardo,#ff8000,3,3,2022
98,Sebastian Vettel,#00665e,33,5,2022
99,Kevin Magnussen,#b6babd,2,20,2022
100,Pierre Gasly,#2b4562,21,10,2023
101,Lance Stroll,#00665e,33,18,2023
102,Mick Schumacher,#b6babd,2,47,2023
103,Yuki Tsunoda,#2b4562,21,22,2023
104,Guanyu Zhou,#900000,10,24,2023
105,Alexander Albon,#00a0dd,9,23,2023
106,Nicholas Latifi,#00a0dd,9,6,2023
107,Nyck de Vries,#00a0dd,9,21,2023
108,Nico Hulkenberg,#00665e,33,27,2023
109,Max Verstappen,#0600ef,5,33,2023
110,Sergio Perez,#0600ef,5,11,2023
111,Lewis Hamilton,#00f5d0,4,44,2023
112,Fernando Alonso,#00665e,33,14,2023
113,Charles Leclerc,#da291c,0,16,2023
114,Lando Norris,#ff8000,3,4,2023
115,Carlos Sainz,#da291c,0,55,2023
116,George Russell,#00f5d0,4,63,2023
117,Oscar Piastri,#ff8000,3,81,2023
118,Lance Stroll,#00665e,33,18,2023
119,Pierre Gasly,#fe86bc,32,10,2023
120,Esteban Ocon,#fe86bc,32,31,2024
121,Alexander Albon,#00a0dd,9,23,2024
122,Yuki Tsunoda,#2b4562,21,22,2024
123,Valtteri Bottas,#900000,10,77,2024
124,Nico Hulkenberg,#b6babd,2,27,2024
125,Daniel Ricciardo,#2b4562,21,3,2024
126,Guanyu Zhou,#900000,10,24,2024
127,Kevin Magnussen,#b6babd,2,20,2024
128,Liam Lawson,#00f5d0,21,30,2024
129,Logan Sargeant,#00a0dd,9,2,2024
130,Nyck de Vries,#2b4562,21,21,2024
131,Max Verstappen,#0600ef,5,33,2024
132,Lando Norris,#ff8000,3,4,2024
133,Charles Leclerc,#e8002d,0,16,2024
134,Oscar Piastri,#ff8000,3,81,2024
135,Carlos Sainz,#e8002d,0,55,2024
136,George Russell,#27f4d2,4,63,2024
137,Lewis Hamilton,#27f4d2,4,44,2024
138,Sergio Perez,#0600ef,5,11,2024
139,Fernando Alonso,#00665f,33,14,2024
140,Pierre Gasly,#ff87bc,52,10,2024
141,Nico Hulkenberg,#b6babd,2,27,2024
142,Yuki Tsunoda,#364aa9,66,22,2024
143,Lance Stroll,#00665f,33,18,2024
144,Esteban Ocon,#ff87bc,32,31,2024
145,Kevin Magnussen,#b6babd,2,20,2024
146,Alexander Albon,#00a0dd,9,23,2024
147,Daniel Ricciardo,#364aa9,66,3,2024
148,Oliver Bearman,#e8002d,0,87,2024
149,Oliver Bearman,#b6babd,2,87,2025
150,Franco Colapinto,#00a0dd,9,43,2024
151,Guanyu Zhou,#00e700,7,24,2024
152,Liam Lawson,#27f4d2,66,30,2024
153,Valtteri Bottas,#00e700,7,77,2024
154,Logan Sargeant,#00a0dd,9,2,2024
155,Jack Doohan,#ff87bc,32,7,2025
156,Lando Norris,#ff8000,3,4,2025
157,Oscar Piastri,#ff8000,3,81,2025
158,Max Verstappen,#0600ef,5,33,2025
159,George Russell,#27f4d2,4,63,2025
160,Charles Leclerc,#e80020,0,16,2025
161,Lewis Hamilton,#e80020,0,44,2025
162,Andrea Kimi Antonelli,#27f4d2,4,12,2025
163,Alexander Albon,#00a0dd,9,23,2025
164,Nico Hulkenberg,#00e700,7,27,2025
165,Isack Hadjar,#fcd700,66,6,2025
166,Oliver Bearman,#b6babd,2,87,2025
167,Fernando Alonso,#00665f,33,14,2025
168,Carlos Sainz,#00a0dd,9,55,2025
169,Liam Lawson,#0600ef,5,30,2025
170,Liam Lawson,#0600ef,66,30,2025
171,Lance Stroll,#00665f,33,18,2025
172,Esteban Ocon,#b6babd,2,31,2025
173,Yuki Tsunoda,#fcd700,66,22,2025
174,Yuki Tsunoda,#fcd700,5,22,2025
175,Pierre Gasly,#ff87bc,32,10,2025
176,Gabriel Bortoleto,#00e700,7,5,2025
177,Franco Colapinto,#ff87bc,32,43,2025
178,Jack Doohan,#ff87bc,32,7,2025
179,Esteban Ocon,#ff87bc,15,31,2018
180,Kimi Räikkönen,#900000,80,7,2020
181,Antonio Giovinazzi,#900000,80,99,2020
182,Esteban Ocon,#fe86bc,81,31,2022
183,Fernando Alonso,#fe86bc,81,14,2022
184,Robert Kubica,#900000,80,99,2020
185,Nyck De Vries,#00a0dd,9,21,2022
186,Pierre Gasly,#fe86bc,81,10,2023
187,Nyck De Vries,#2b4562,21,21,2023
188,Guanyu Zhou,#900000,82,24,2024
189,Daniel Ricciardo,#fcd700,83,3,2024
190,Yuki Tsunoda,#fcd700,83,22,2024
191,Valtteri Bottas,#900000,82,77,2024
192,Liam Lawson,#fcd700,83,30,2024
193,Jack Doohan,#fe86bc,81,7,2025
