ID,Type,CircuitID,DateOfSession,Temperature,RaceLaps
0,Practice 1,0,23/03/2018 01:00,25.3,0
1,Practice 2,0,23/03/2018 05:00,28.9,0
2,Practice 3,0,24/03/2018 03:00,18.6,0
3,Qualifying,0,24/03/2018 06:00,24.7,0
4,Race,0,25/03/2018 05:10,24.1,58
5,Practice 1,2,06/04/2018 11:00,30.1,0
6,Practice 2,2,06/04/2018 15:00,27.5,0
7,Practice 3,2,07/04/2018 12:00,29.4,0
8,Qualifying,2,07/04/2018 15:00,28.2,0
9,Race,2,08/04/2018 15:10,28,57
10,Practice 1,14,13/04/2018 02:00,18.9,0
11,Practice 2,14,13/04/2018 06:00,18.1,0
12,Practice 3,14,14/04/2018 03:00,12.8,0
13,Qualifying,14,14/04/2018 06:00,12.5,0
14,Race,14,15/04/2018 06:10,19,56
15,Practice 1,3,27/04/2018 09:00,22.4,0
16,Practice 2,3,27/04/2018 13:00,19.2,0
17,Practice 3,3,28/04/2018 10:00,24.1,0
18,Qualifying,3,28/04/2018 13:00,22,0
19,Race,3,29/04/2018 12:10,17.2,51
20,Practice 1,4,11/05/2018 09:00,19.5,0
21,Practice 2,4,11/05/2018 13:00,23.8,0
22,Practice 3,4,12/05/2018 10:00,20.7,0
23,Qualifying,4,12/05/2018 13:00,18.9,0
24,Race,4,13/05/2018 13:10,15.1,66
25,Practice 1,9,24/05/2018 09:00,21.4,0
26,Practice 2,9,24/05/2018 13:00,22.1,0
27,Practice 3,9,26/05/2018 10:00,23.4,0
28,Qualifying,9,26/05/2018 13:00,25.7,0
29,Race,9,27/05/2018 13:10,25.3,78
30,Practice 1,19,08/06/2018 14:00,18.4,0
31,Practice 2,19,08/06/2018 18:00,21.2,0
32,Practice 3,19,09/06/2018 15:00,19.8,0
33,Qualifying,19,09/06/2018 18:00,22.8,0
34,Race,19,10/06/2018 18:10,20.5,70
35,Practice 1,12,22/06/2018 10:00,25.4,0
36,Practice 2,12,22/06/2018 14:00,29.5,0
37,Practice 3,12,23/06/2018 11:00,25.1,0
38,Qualifying,12,23/06/2018 14:00,22.6,0
39,Race,12,24/06/2018 14:10,25,53
40,Practice 1,11,29/06/2018 09:00,18.5,0
41,Practice 2,11,29/06/2018 13:00,21.5,0
