ID,TeamName,Color,Abbreviation
0,Ferrari,#dc0000,FER
1,Force India,#ff87bc,FOR
2,Haas F1 Team,#b6babd,HAA
3,McLaren,#ff8000,MCL
4,Mercedes,#00f5d0,MER
5,Red Bull,#1e41ff,RED
6,Renault,#fff500,REN
7,Sauber,#900000,SAU
8,Toro Rosso,#2b4562,TOR
9,Williams,#00a0dd,WIL
10,Alfa Romeo,#900000,ALF
11,Ferrari,#da291c,FER
12,Haas F1 Team,#bd9e57,HAA
13,McLaren,#ff8000,MCL
14,Mercedes,#00d2be,MER
15,Racing Point,#ff87bc,RAC
16,Red Bull,#1e41ff,RED
17,Renault,#fff500,REN
18,Toro Rosso,#2b4562,TOR
19,Williams,#00a0dd,WIL
20,Alfa Romeo,#900000,ALF
21,AlphaTauri,#2b4562,ALP
22,Ferrari,#dc0000,FER
23,Haas F1 Team,#b6babd,HAA
24,McLaren,#ff8000,MCL
25,Mercedes,#00d2be,MER
26,Racing Point,#ff87bc,RAC
27,Red Bull,#1e41ff,RED
28,Renault,#fff500,REN
29,Williams,#00a0dd,WIL
30,Alfa Romeo,#900000,ALF
31,AlphaTauri,#2b4562,ALP
32,Alpine F1 Team,#0755ab,ALP
33,Aston Martin,#00665e,AST
34,Ferrari,#dc0004,FER
35,Haas F1 Team,#b6babd,HAA
36,McLaren,#ff8000,MCL
37,Mercedes,#00f5d0,MER
38,Red Bull,#0600ef,RED
39,Williams,#00a0dd,WIL
40,Alfa Romeo,#900000,ALF
41,AlphaTauri,#2b4562,ALP
42,Alpine F1 Team,#fe86bc,ALP
43,Aston Martin,#00665e,AST
44,Ferrari,#da291c,FER
45,Haas F1 Team,#b6babd,HAA
46,McLaren,#ff8000,MCL
47,Mercedes,#00f5d0,MER
48,Red Bull,#0600ef,RED
49,Williams,#00a0dd,WIL
50,Alfa Romeo,#900000,ALF
51,AlphaTauri,#2b4562,ALP
52,Alpine F1 Team,#fe86bc,ALP
53,Aston Martin,#00665e,AST
54,Ferrari,#da291c,FER
55,Haas F1 Team,#b6babd,HAA
56,McLaren,#ff8000,MCL
57,Mercedes,#00f5d0,MER
58,Red Bull,#0600ef,RED
59,Williams,#00a0dd,WIL
60,Alpine F1 Team,#ff87bc,ALP
61,Aston Martin,#00665f,AST
62,Ferrari,#e8002d,FER
63,Haas F1 Team,#b6babd,HAA
64,McLaren,#ff8000,MCL
65,Mercedes,#27f4d2,MER
66,RB F1 Team,#364aa9,RB 
67,Red Bull,#0600ef,RED
68,Sauber,#00e700,SAU
69,Williams,#00a0dd,WIL
70,Alpine F1 Team,#ff87bc,ALP
71,Aston Martin,#00665f,AST
72,Ferrari,#e80020,FER
73,Haas F1 Team,#b6babd,HAA
74,McLaren,#ff8000,MCL
75,Mercedes,#27f4d2,MER
76,RB F1 Team,#364aa9,RB 
77,Red Bull,#0600ef,RED
78,Sauber,#00e700,SAU
79,Williams,#00a0dd,WIL
80,Alfa Romeo Racing,#900000,ALF
81,Alpine,#fe86bc,ALP
82,Kick Sauber,#900000,SAU
83,RB,#fcd700,RB 
84,Racing Bulls,#fcd700,RB 
85,Cadillac,#555559,CAD
86,Audi,#f22324,AUD
